,Unnamed: 0,player,position,sportingnews,CBS,si_rank,ds1_rank,ds2_rank,JacobK,FATSAK,GoPats1287,JustinB,Saucey19,Pouhy,Logantooreal,rayt,username2003,VFarm1990,bkru3813,emt6000,Jackd1305,Kamikaze_Justice,reuter,bleacher,si2_rank,drafttek
82,82.0,Lucas Niang,OT,82.0,46,67.0,,,,72.0,85.0,,85.0,,,,92.0,60.0,62.0,,90.0,54.0,,,72.0,
83,83.0,Robert Hunt,G,83.0,92,77.0,,,98.0,,,,,,,98.0,,,,,,,,,73.0,
84,84.0,Jake Fromm,QB,84.0,104,82.0,30.0,91.0,91.0,14.0,33.0,,33.0,20.0,73.0,91.0,19.0,9.0,10.0,20.0,37.0,90.0,75.0,42.0,85.0,63.0
85,85.0,Adam Trautman,TE,85.0,106,66.0,,,,,,,,,,,,,,,,86.0,90.0,,68.0,99.0
86,86.0,Netane Muti,G,86.0,71,97.0,56.0,94.0,83.0,,,92.0,,,,83.0,,,,,,28.0,,,,27.0
87,87.0,K.J. Hill,WR,87.0,103,,,,,84.0,,,,,,,,,,,,,,,99.0,
88,88.0,Jack Driscoll,OT,88.0,74,,,,,,,,,,,,,,,,,,,,,
89,89.0,Jauan Jennings,WR,89.0,,,,,,,,,,,,,,,,,,,,,,
90,90.0,Matt Peart,OT,90.0,75,64.0,89.0,51.0,41.0,,,68.0,,,67.0,41.0,,,,,,,,45.0,70.0,
91,91.0,Troy Pride Jr.,CB,91.0,83,74.0,,,,,,,,,,,,,,,,,77.0,,76.0,
92,92.0,Jonathan Greenard,EDGE,92.0,,71.0,,,,,,,,,,,60.0,,,,,,68.0,,69.0,
93,93.0,John Simpson,G,93.0,,,85.0,,,,,85.0,,,,,,,,,,84.0,,43.0,,60.0
94,94.0,John Hightower,WR,94.0,,,,,,,,,,,,,,,,,,,105.0,,,
95,95.0,Darrell Taylor ,EDGE,95.0,68,,,,,,,,,,,,,,,,,,,,,
96,96.0,Jonah Jackson,G,96.0,49,94.0,,,,,,,,,,,,,,,,,95.0,,,
97,97.0,Ben Bartch,OT,97.0,73,,,87.0,,,,,,,99.0,,,,,,,,60.0,,,
98,98.0,Van Jefferson,WR,98.0,,98.0,,,,,,,,,,,,,,,,,,,98.0,
99,99.0,Trey Adams,OT,99.0,,,40.0,20.0,20.0,26.0,32.0,31.0,31.0,57.0,39.0,25.0,13.0,30.0,13.0,57.0,16.0,85.0,,,,
100,100.0,Darnay Holmes,CB,100.0,,,,,,,,,,,,,,,,,,,84.0,,95.0,
101,101.0,Ashtyn Davis,S,,41,55.0,76.0,54.0,46.0,,,60.0,,,80.0,46.0,56.0,,,,50.0,83.0,,,56.0,98.0
102,102.0,Willie Gay Jr.,LB,,53,95.0,,,,,,,,,,,,,,,,,,,80.0,
103,103.0,Josh Uche,EDGE,,55,70.0,,75.0,82.0,,,,,,64.0,82.0,,,,,,,56.0,,61.0,83.0
104,104.0,Akeem Davis-Gather,LB,,62,,,,,,,,,,,,,,,,,,,,,
